node_id,cpg_id,site_type,chromosome,position,regulatory_level,degree,avg_edge_weight,clustering_coefficient,eigenvector_centrality,is_in_largest_component,graph_total_nodes,graph_total_edges,graph_density,graph_avg_degree,graph_avg_clustering,graph_largest_comp_ratio
0,cg22376706,A,chr12,71314612,0.5,7,0.49190907859738997,0.39870933420312304,2.394659516259157e-22,False,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
1,cg18973515,A,chr15,65713476,0.7999999999999999,7,0.3464216859903398,0.21097133400486986,4.704862007700412e-09,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
2,cg26019680,A,chr3,127347876,1.0,6,0.6008331829797665,0.47006745264978966,1.00638241831563e-10,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
3,cg27059819,A,chr3,127347685,1.0,7,0.524933096216287,0.3175735553746933,1.5467859360738534e-10,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
4,cg09538452,A,chr19,18496756,0.7999999999999999,5,0.4849913705160631,0.46938878055741784,6.833783513495934e-09,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
5,cg19953406,A,chr19,51487360,0.5,5,0.6256648779173115,0.6677417808528904,0.0003831129210987965,False,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
6,cg16742703,A,chr19,51357857,0.5,5,0.3466773792759994,0.29589413733828784,0.00011105176067995917,False,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
7,cg19471655,A,chr19,51487109,0.5,7,0.5160314365297595,0.43439179509932657,0.000400547732548946,False,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
8,cg03383006,A,chr17,42992924,0.7999999999999999,5,0.5405745923334067,0.6076302517435981,1.0943195526213164e-08,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
9,cg25666210,A,chr12,71148346,0.5,5,0.28076582879262035,0.34374913054906014,9.974162793794633e-23,False,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
10,cg06258834,A,chr19,51487136,0.5,7,0.5367595922774323,0.4446304469804994,0.00041432082612937273,False,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
11,cg26153045,A,chr7,73441834,0.5,6,0.35059099892236795,0.3147528866006015,2.0460470931468982e-10,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
12,cg00066153,A,chr11,125550744,0.5,5,0.07864562215808138,0.07321514433861476,7.422747499778279e-09,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
13,cg06834434,A,chr14,75079333,1.0,5,0.5539287796839638,0.2821600805822694,3.476571222400275e-08,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
14,cg12409361,A,chr15,65713859,0.7999999999999999,7,0.39924597189708466,0.23638675285080316,5.718070282033633e-09,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
15,cg05688616,A,chr2,238322274,0.5,5,0.4862572132434903,0.49070330792534256,5.037095139871881e-32,False,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
16,cg04869122,A,chr2,238322318,0.5,5,0.3760440346861183,0.43105725708338427,4.066147296958707e-32,False,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
17,cg07318313,A,chr9,130616620,1.0,5,0.4793422700913032,0.3136952608375316,5.593104837795747e-06,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
18,cg17472052,A,chr3,127347536,0.7999999999999999,5,0.5704450700115503,0.4273817581352814,1.5001675311744817e-10,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
19,cg04176254,A,chr16,67517429,0.7999999999999999,7,0.4603334124987056,0.2846404144278403,1.3147234667019813e-07,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
20,cg07773060,A,chr8,24813046,1.0,6,0.7037189979518921,0.5089340604524042,0.34021551082697404,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
21,cg00776558,A,chr15,65715354,1.0,6,0.422831172189365,0.2152142081700537,5.136975401451082e-09,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
22,cg02831955,A,chr19,42947497,0.5,5,0.3639304903451898,0.2468760060305189,9.131201523043727e-09,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
23,cg15107641,A,chr3,45188186,0.7999999999999999,5,0.6432604261284951,0.6499269036673619,6.475883231985169e-05,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
24,cg21678312,A,chr12,71314587,0.5,7,0.46009517897695235,0.3840864367108134,2.29001159786958e-22,False,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
25,cg24000873,A,chr8,24813653,1.0,5,0.6464198729478758,0.4274305439242144,0.260070648212348,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
26,cg00417165,A,chr14,75079321,1.0,8,0.499468379883952,0.26919018068657763,9.156361329490982e-08,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
27,cg23129573,A,chr7,73442487,0.5,7,0.4882015154801947,0.37555797223589865,3.7974051228941846e-10,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
28,cg18993701,A,chr15,65715356,1.0,5,0.5169820205236483,0.3701897297774941,2.575057469213876e-09,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
29,cg15732230,A,chr19,51487280,0.5,8,0.5955684087846717,0.4751561014364791,0.000520296132194385,False,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
30,cg13458609,A,chr9,130608923,0.5,5,0.23369850062153308,0.2252231202256092,9.413409867423896e-07,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
31,cg17314888,A,chr7,73442282,0.5,7,0.4340409067886218,0.29481178804701863,1.234624516651603e-09,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
32,cg09179347,A,chr16,67517453,0.7999999999999999,11,0.310390107748152,0.12514449208691997,1.294753117723927e-07,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
33,cg08830672,A,chr16,67516286,0.7999999999999999,6,0.5073875235666591,0.40748329892326346,1.3453635154591844e-07,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
34,cg20718816,A,chr14,75078842,1.0,6,0.48169861450558155,0.35303647136822175,3.817566269434861e-08,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
35,cg09783874,A,chr22,20791553,1.0,5,0.5461023181085853,0.6092546454219951,8.773426967442077e-05,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
36,cg01023696,A,chr8,24813003,1.0,6,0.7407559579077003,0.5730180151150002,0.36473446487629524,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
37,cg07871059,A,chr16,67516493,0.7999999999999999,5,0.5102489800752863,0.48350867417021115,1.1863701737766654e-07,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
38,cg07816392,A,chr15,65715081,1.0,5,0.4772750585085106,0.3613643611355804,2.262866918844839e-09,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
39,cg27497839,A,chr19,51487305,0.5,8,0.5961246418428883,0.47414420874537605,0.0005193745835534068,False,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
40,cg16632868,A,chr11,30252614,0.5,5,0.38407897029963645,0.2393408046707423,7.450012115140771e-08,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
41,cg18208742,A,chr17,42992872,0.7999999999999999,8,0.4520166801611665,0.3421926445910988,1.9431480732357902e-08,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
42,cg14185922,A,chr9,130615188,0.7999999999999999,5,0.4202708288553453,0.2994322616461153,2.6608294712328653e-06,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
43,cg07918341,A,chr17,42992709,0.7999999999999999,6,0.46436334394260176,0.4572897725361181,1.2858091255922508e-08,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
44,cg01614020,A,chr8,24814137,1.0,6,0.7236979723787612,0.5305101437741517,0.36240146460421363,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
45,cg17687962,A,chr19,51358244,0.5,5,0.3346741158996716,0.2968531568894163,0.00011605479534608935,False,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
46,cg19840066,A,chr22,20792224,1.0,5,0.6275073563611232,0.5626996288475725,6.073507120592586e-05,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
47,cg17514701,A,chr12,71314752,0.5,7,0.40152177205003853,0.3586680967845951,1.9713480955306397e-22,False,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
48,cg21211585,A,chr19,18496984,0.7999999999999999,5,0.5440538745028609,0.4988246997491923,7.1221500699946965e-09,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
49,cg23748737,A,chr22,20791733,1.0,8,0.40109608454029066,0.22709214841932696,0.00020661386121027903,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
50,cg26273150,A,chr14,75079121,1.0,5,0.5025569876790847,0.38331996262592644,2.9282269718820442e-08,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
51,cg03897712,A,chr7,73442370,0.5,5,0.5194716764228864,0.4632749441648801,3.114226943715143e-10,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
52,cg07951417,A,chr7,73441538,0.5,5,0.31099028726343786,0.3176167519084314,1.4642683839839353e-10,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
53,cg19895164,A,chr22,20791024,1.0,8,0.46711785701255154,0.2729883709951582,9.658235105671448e-05,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
54,cg15159060,A,chr11,30251197,0.5,5,0.35988832348749605,0.23389492864873446,7.08832871878537e-08,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
55,cg00197313,A,chr8,24813120,1.0,5,0.7294406718449087,0.6273842129596894,0.3104379497685306,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
56,cg26241993,A,chr19,51487245,0.5,11,0.5088970642865079,0.3006724783200058,0.0005380777382467436,False,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
57,cg22276896,A,chr19,42946985,0.5,5,0.36813455796506933,0.2462023339113563,8.846441858845788e-09,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
58,cg00793088,A,chr12,71315008,0.5,5,0.31825941939956054,0.3667392247703278,1.1233127213088573e-22,False,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
59,cg05781767,A,chr3,127347362,0.7999999999999999,6,0.47786778193618434,0.2908958917640654,2.6914350799870256e-10,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
60,cg10004179,A,chr15,65714393,0.7999999999999999,5,0.38127459781501577,0.2924349510377331,1.4827683003818757e-09,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
61,cg06217862,A,chr14,75079072,1.0,7,0.59623885356784,0.40490238812568935,6.240676857675985e-08,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
62,cg16080876,A,chr8,24813866,1.0,7,0.531531678354312,0.25016253539005573,0.27897455281142747,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
63,cg10189135,A,chr16,67516162,0.7999999999999999,7,0.4069465825522647,0.23665654022805405,1.5079814629760068e-07,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
64,cg01769243,A,chr17,42992917,0.7999999999999999,7,0.5920758835501513,0.4945042027925113,1.716146882359203e-08,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
65,cg08748948,A,chr22,20792476,1.0,8,0.5682441572341996,0.41798012809941193,0.00010744062985032262,True,198,673,0.03450751166487207,6.797979797979798,0.25013379007036396,0.8686868686868687
